ID,Customer Name,Division,Gender,MaritalStatus,Age,Income
CUS00001,Customer1,Dhaka,M,Divorced,45,76506
CUS00002,Customer2,Rajshahi,M,Divorced,32,60679
CUS00003,Customer3,Chattogram,M,Single,46,73488
CUS00004,Customer4,Sylhet,M,Divorced,27,63863
CUS00005,Customer5,Chattogram,M,Single,25,59359
CUS00006,Customer6,Dhaka,F,Single,43,74924
CUS00007,Customer7,Rajshahi,F,Single,35,65514
CUS00008,Customer8,Chattogram,M,Single,28,60881
CUS00009,Customer9,Mymensingh,F,Single,52,84527
CUS00010,Customer10,Chattogram,M,Single,42,78044
CUS00011,Customer11,Sylhet,F,Divorced,34,60139
CUS00012,Customer12,Mymensingh,M,Single,26,56814
CUS00013,Customer13,Chattogram,M,Married,52,89428
CUS00014,Customer14,Rajshahi,F,Married,45,78820
CUS00015,Customer15,Khulna,F,Divorced,31,58803
CUS00016,Customer16,Rajshahi,M,Married,42,78216
CUS00017,Customer17,Barishal,M,Single,33,63752
CUS00018,Customer18,Barishal,M,Married,51,85386
CUS00019,Customer19,Barishal,M,Single,27,62179
CUS00020,Customer20,Rajshahi,F,Married,37,67287
CUS00021,Customer21,Chattogram,F,Divorced,32,63543
CUS00022,Customer22,Rajshahi,M,Divorced,36,71085
CUS00023,Customer23,Khulna,M,Single,27,56621
CUS00024,Customer24,Khulna,F,Married,50,84252
CUS00025,Customer25,Mymensingh,F,Divorced,44,69188
CUS00026,Customer26,Mymensingh,M,Divorced,46,78573
CUS00027,Customer27,Chattogram,F,Single,28,60433
CUS00028,Customer28,Rajshahi,F,Divorced,25,51743
CUS00029,Customer29,Sylhet,F,Single,52,83126
CUS00030,Customer30,Dhaka,M,Divorced,49,81310
CUS00031,Customer31,Khulna,M,Married,40,75038
CUS00032,Customer32,Sylhet,M,Divorced,32,60290
CUS00033,Customer33,Khulna,F,Divorced,27,54060
CUS00034,Customer34,Rajshahi,F,Married,29,65645
CUS00035,Customer35,Sylhet,F,Divorced,52,80295
CUS00036,Customer36,Chattogram,F,Divorced,47,78118
CUS00037,Customer37,Khulna,F,Single,39,67681
CUS00038,Customer38,Dhaka,F,Divorced,27,61075
CUS00039,Customer39,Dhaka,M,Single,32,59964
CUS00040,Customer40,Dhaka,M,Married,32,63160
CUS00041,Customer41,Mymensingh,M,Divorced,41,75953
CUS00042,Customer42,Rangpur,M,Single,31,65749
CUS00043,Customer43,Sylhet,F,Single,50,76588
CUS00044,Customer44,Barishal,F,Married,46,80735
CUS00045,Customer45,Khulna,M,Single,39,72596
CUS00046,Customer46,Khulna,F,Single,48,76139
CUS00047,Customer47,Rajshahi,F,Married,31,62006
CUS00048,Customer48,Sylhet,F,Single,33,65260
CUS00049,Customer49,Dhaka,M,Divorced,50,85856
CUS00050,Customer50,Khulna,M,Single,51,80724
CUS00051,Customer51,Rangpur,F,Single,38,69570
CUS00052,Customer52,Rajshahi,M,Married,53,83035
CUS00053,Customer53,Rangpur,F,Married,37,71930
CUS00054,Customer54,Rajshahi,F,Single,47,76861
CUS00055,Customer55,Dhaka,M,Divorced,31,63138
CUS00056,Customer56,Rangpur,M,Divorced,26,61701
CUS00057,Customer57,Khulna,M,Single,30,58122
CUS00058,Customer58,Sylhet,M,Married,44,75964
CUS00059,Customer59,Dhaka,M,Divorced,55,83343
CUS00060,Customer60,Mymensingh,F,Single,38,68147
CUS00061,Customer61,Chattogram,F,Single,32,61915
CUS00062,Customer62,Khulna,F,Single,39,71508
CUS00063,Customer63,Khulna,M,Divorced,44,74492
CUS00064,Customer64,Rajshahi,F,Married,41,70127
CUS00065,Customer65,Barishal,M,Married,53,85584
CUS00066,Customer66,Dhaka,F,Divorced,39,73086
CUS00067,Customer67,Rajshahi,M,Married,34,65891
CUS00068,Customer68,Rajshahi,M,Married,53,87616
CUS00069,Customer69,Barishal,M,Single,44,75325
CUS00070,Customer70,Mymensingh,F,Single,41,67512
CUS00071,Customer71,Mymensingh,F,Single,45,70058
CUS00072,Customer72,Mymensingh,M,Single,35,69239
CUS00073,Customer73,Dhaka,F,Single,42,68232
CUS00074,Customer74,Dhaka,M,Married,55,94543
CUS00075,Customer75,Chattogram,M,Single,42,69685
CUS00076,Customer76,Dhaka,F,Married,34,65441
CUS00077,Customer77,Khulna,M,Married,46,85173
CUS00078,Customer78,Rajshahi,F,Single,53,80662
CUS00079,Customer79,Chattogram,M,Single,50,79938
CUS00080,Customer80,Chattogram,F,Divorced,48,77065
CUS00081,Customer81,Khulna,M,Married,33,63634
CUS00082,Customer82,Sylhet,F,Single,52,84541
CUS00083,Customer83,Sylhet,F,Single,36,61387
CUS00084,Customer84,Chattogram,M,Married,46,80564
CUS00085,Customer85,Mymensingh,M,Married,52,90346
CUS00086,Customer86,Dhaka,F,Single,37,66279
CUS00087,Customer87,Dhaka,F,Single,30,64774
CUS00088,Customer88,Barishal,F,Married,38,75932
CUS00089,Customer89,Chattogram,M,Divorced,41,71114
CUS00090,Customer90,Chattogram,M,Single,33,68518
CUS00091,Customer91,Barishal,M,Married,54,85146
CUS00092,Customer92,Barishal,F,Divorced,55,82041
CUS00093,Customer93,Mymensingh,F,Divorced,48,79691
CUS00094,Customer94,Mymensingh,F,Divorced,35,62085
CUS00095,Customer95,Chattogram,F,Divorced,31,58851
CUS00096,Customer96,Chattogram,F,Divorced,44,69006
CUS00097,Customer97,Sylhet,F,Married,34,71502
CUS00098,Customer98,Rangpur,F,Married,44,79244
CUS00099,Customer99,Rangpur,M,Divorced,46,75780
CUS00100,Customer100,Mymensingh,M,Divorced,46,78491
